name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	ind.region	stein.region
ROF1	-23.2101	27.3901	-30.0205325795597	-999	ROF	L	strip	-20.583	22.1609	-21.6418	lateralorbitofrontal	n/a
ROF2	-14.8176	25.2586	-29.9223456804676	-999	ROF	L	strip	-9.87027	24.2909	-22.4185	lateralorbitofrontal	n/a
ROF3	1.38861	27.9924	-25.2705563747935	-999	ROF	R	strip	1.10875	24.3286	-21.9254	medialorbitofrontal	n/a
ROF4	14.848	25.0578	-29.1532745671087	-999	ROF	R	strip	12.2028	23.2534	-21.2571	medialorbitofrontal	n/a
ROF5	21.7829	28.1127	-28.6674434760786	-999	ROF	R	strip	22.6664	23.4374	-19.355	lateralorbitofrontal	n/a
ROF6	24.1958	30.4478	-26.4121931111076	-999	ROF	R	strip	33.3369	26.9467	-18.471	lateralorbitofrontal	n/a
ROF7	38.5976	29.4341	-24.8732021922276	-999	ROF	R	strip	42.0844	28.4829	-13.8942	lateralorbitofrontal	n/a
ROF8	48.644	28.1249	-21.8791394974027	-999	ROF	R	strip	48.9034	33.6632	-6.53512	parsorbitalis	n/a
RAT1	17.6758	8.23802	-31.9195078662829	-999	RAT	R	strip	17.1699	5.4584	-24.6959	entorhinal	n/a
RAT2	17.9702	15.1709	-36.9091765323979	-999	RAT	R	strip	21.8788	13.8748	-29.5433	temporalpole	n/a
RAT3	25.7384	23.0102	-38.8967847086571	-999	RAT	R	strip	28.6042	19.7348	-33.5876	temporalpole	n/a
RAT4	37.7955	23.5551	-40.74109682965	-999	RAT	R	strip	39.3957	20.6187	-35.1073	middletemporal	n/a
RAT5	49.1571	17.6156	-39.7809742253006	-999	RAT	R	strip	50.2281	16.0179	-34.7994	middletemporal	n/a
RAT6	55.8725	10.0707	-37.755627456957	-999	RAT	R	strip	57.3176	9.63943	-32.1699	middletemporal	n/a
RAT7	61.1077	-0.961	-33.9859865659018	-999	RAT	R	strip	62.981	1.0747	-27.7168	middletemporal	n/a
RAT8	66.6536	-8.46887	-27.8659645966193	-999	RAT	R	strip	65.3195	-8.23443	-22.0681	middletemporal	n/a
RSTA1	3.86037	-55.297	7.04277485509509	-999	RSTA	R	strip	4.43475	-57.6574	14.3361	precuneus	n/a
RSTA2	9.83024	-53.7862	-1.60351097343311	-999	RSTA	R	strip	10.1473	-56.0851	4.52748	lingual	n/a
RSTA3	18.3979	-55.1789	-8.45465052576182	-999	RSTA	R	strip	17.5668	-53.5604	-3.39106	lingual	n/a
RSTA4	27.1776	-52.9194	-14.212968058253	-999	RSTA	R	strip	24.5273	-51.4378	-9.66412	fusiform	n/a
RSTA5	34.0609	-49.6387	-19.7582119423461	-999	RSTA	R	strip	33.7855	-49.035	-15.6042	fusiform	n/a
RSTA6	44.4124	-43.8599	-27.0651797826823	-999	RSTA	R	strip	43.4749	-44.0191	-19.6311	inferiortemporal	n/a
RSTA7	53.2479	-41.6688	-28.8743295809823	-999	RSTA	R	strip	52.821	-40.5277	-21.9852	inferiortemporal	n/a
RSTA8	60.4005	-35.3523	-26.8044522091014	-999	RSTA	R	strip	60.8844	-33.827	-21.0414	inferiortemporal	n/a
RSTB1	6.11266	-83.4273	-12.2268616238568	-999	RSTB	R	strip	8.60904	-79.4469	-1.19347	lingual	n/a
RSTB2	19.5434	-79.4743	-13.7975527312188	-999	RSTB	R	strip	18.3345	-74.2988	-4.30171	lingual	n/a
RSTB3	32.827	-72.7567	-15.3233636150011	-999	RSTB	R	strip	28.7051	-69.5865	-6.89476	fusiform	n/a
RSTB4	41.5875	-68.8225	-17.2272362611322	-999	RSTB	R	strip	37.9753	-65.6037	-9.79624	fusiform	n/a
RSTB5	47.6431	-60.1405	-19.4081028273894	-999	RSTB	R	strip	46.4459	-59.4498	-13.0167	fusiform	n/a
RSTB6	58.3958	-55.6693	-22.772591890459	-999	RSTB	R	strip	55.6157	-53.5311	-14.3446	inferiortemporal	n/a
RSTB7	66.4264	-48.2121	-22.1375879086285	-999	RSTB	R	strip	62.2555	-44.9123	-15.0659	inferiortemporal	n/a
RSTB8	69.2607	-39.1153	-20.7039468602021	-999	RSTB	R	strip	64.8849	-35.9773	-14.7355	inferiortemporal	n/a
RPT1	16.9084	-87.9688	45.6335712443287	-999	RPT	R	strip	18.6184	-84.6019	51.3721	superiorparietal	n/a
RPT2	23.4961	-88.9614	41.5040765582432	-999	RPT	R	strip	27.8521	-80.7697	47.2077	superiorparietal	n/a
RPT3	32.9181	-85.0376	40.2534113752071	-999	RPT	R	strip	36.4055	-76.642	41.4743	inferiorparietal	n/a
RPT4	44.6193	-80.1073	30.7801285413413	-999	RPT	R	strip	44.2508	-70.7611	36.5027	inferiorparietal	n/a
RPT5	54.0613	-72.3391	29.4873442960295	-999	RPT	R	strip	52.0607	-65.0184	30.5237	inferiorparietal	n/a
RPT6	58.2555	-67.6929	20.5278559379913	-999	RPT	R	strip	59.2436	-58.7727	24.4866	inferiorparietal	n/a
RPT7	67.2498	-55.2254	13.1028274872413	-999	RPT	R	strip	64.4288	-49.9067	18.0845	inferiorparietal	n/a
RPT8	70.1735	-42.8387	10.7834611098865	-999	RPT	R	strip	66.7859	-42.0003	10.9415	middletemporal	n/a
RAMY1	24.5791	-21.4225	-18.8945283284575	-999	RAMY	R	depth	27.2892	-21.7678	-13.1666	n/a	Right CA1
RAMY2	29.5358	-23.4663	-19.3752996439549	-999	RAMY	R	depth	32.533	-22.3986	-13.2752	n/a	Right CA1
RAMY3	35.5127	-24.5721	-18.1960184847012	-999	RAMY	R	depth	38.3833	-22.8431	-12.4983	n/a	n/a
RAMY4	39.2408	-25.7214	-18.2691622973376	-999	RAMY	R	depth	43.0572	-23.5275	-12.575	fusiform	n/a
RAMY5	44.0901	-27.3143	-16.2091531281675	-999	RAMY	R	depth	48.3592	-24.7151	-12.5966	inferiortemporal	n/a
RAMY6	52.4283	-27.7816	-11.0350171089488	-999	RAMY	R	depth	54.2095	-25.1595	-11.8196	middletemporal	n/a
RAMY7	59.6824	-30.544	-12.1331510526063	-999	RAMY	R	depth	58.9988	-26.9569	-11.7212	middletemporal	n/a
