name	x	y	z	size	group	hemisphere	type	tal.x	tal.y	tal.z	wb.region
RAID1	45.2622	-35.5017	2.71326388128731	-999	RAID	R	depth	-39.0282	-4.46394	-3.84148	Right Cerebral White Matter
RAID2	48.8756	-31.392	2.03631067214535	-999	RAID	R	depth	-42.1273	-8.85821	-4.28628	Right Cerebral White Matter
RAID3	52.6837	-28.9442	2.13935954031518	-999	RAID	R	depth	-46.3736	-12.2307	-4.31943	Right STG superior temporal gyrus
RAID4	58.1026	-27.82	1.80775364568662	-999	RAID	R	depth	-50.6207	-15.5363	-3.74695	Right STG superior temporal gyrus
RAID5	62.0383	-24.5566	1.26792880324378	-999	RAID	R	depth	-54.8662	-18.9756	-4.38571	Right MTG middle temporal gyrus
RAID6	63.1752	-19.2762	1.65372620659709	-999	RAID	R	depth	-59.6605	-22.4462	-5.02512	Right MTG middle temporal gyrus
RAID7	64.1553	-14.9183	1.47191041729394	-999	RAID	R	depth	-63.9077	-25.7519	-4.45262	Right STG superior temporal gyrus
RAID8	66.6231	-11.5813	-0.1142827908127	-999	RAID	R	depth	-67.08	-28.5524	-4.58082	n/a
RAID9	68.4153	-9.34785	-0.919427479649694	-999	RAID	R	depth	-69.1795	-30.7143	-4.19824	n/a
RAID10	70.1281	-7.87511	-2.45123400120885	-999	RAID	R	depth	-71.3254	-31.9917	-5.2195	n/a
RASD1	34.4429	-37.9183	9.13454349258389	-999	RASD	R	depth	-32.9562	-3.96964	7.26688	Right Cerebral White Matter
RASD2	41.6144	-36.2439	8.34821454308941	-999	RASD	R	depth	-38.9459	-5.40277	6.79974	Right Cerebral White Matter
RASD3	46.7088	-32.8997	7.81129605473105	-999	RASD	R	depth	-43.2395	-7.82855	5.8779	Right Cerebral White Matter
RASD4	52.8416	-29.3913	9.09381078259576	-999	RASD	R	depth	-48.6322	-10.2477	5.61772	Right Cerebral White Matter
RASD5	58.8048	-28.0769	8.85402415967371	-999	RASD	R	depth	-52.9258	-12.6734	4.69589	Right STG superior temporal gyrus
RASD6	64.3552	-27.2743	8.15951891487975	-999	RASD	R	depth	-57.7684	-15.1307	3.77313	Right STG superior temporal gyrus
RASD7	67.4347	-25.0135	7.35659055241961	-999	RASD	R	depth	-63.161	-17.5497	3.51304	Right STG superior temporal gyrus
RASD8	68.7569	-22.8887	6.42311979808309	-999	RASD	R	depth	-67.503	-18.9581	2.38508	Right STG superior temporal gyrus
RASD9	69.4856	-20.2203	5.83170068981266	-999	RASD	R	depth	-70.6995	-21.2512	2.12849	n/a
RASD10	72.3989	-18.9905	4.9761779805874	-999	RASD	R	depth	-73.9916	-21.5783	0.820915	n/a
RSAD1	32.4246	-41.7816	13.6257097083222	-999	RSAD	R	depth	-29.8373	0.267606	11.1951	Right Cerebral White Matter
RSAD2	35.2542	-40.6509	16.1666915794561	-999	RSAD	R	depth	-33.0634	-1.09865	14.8162	Right Cerebral White Matter
RSAD3	39.7939	-39.8121	18.0691271638736	-999	RSAD	R	depth	-37.9597	-2.12047	17.6681	Right Cerebral White Matter
RSAD4	41.9873	-39.6476	21.4778849830171	-999	RSAD	R	depth	-41.2116	-2.83882	22.513	Right Cerebral White Matter
RSAD5	45.5484	-40.173	23.3142394092144	-999	RSAD	R	depth	-45.5598	-3.75941	26.0292	Right Cerebral White Matter
RSAD6	48.3524	-38.4594	24.7583790132555	-999	RSAD	R	depth	-48.7609	-5.70414	29.09	Right AnG angular gyrus
RSAD7	50.345	-32.7071	32.1329612410805	-999	RSAD	R	depth	-53.1107	-6.48533	33.9331	Right SMG supramarginal gyrus
RSAD8	51.8293	-27.3394	38.7816414717841	-999	RSAD	R	depth	-56.361	-7.34307	37.4511	Right SMG supramarginal gyrus
RSAD9	57.3333	-23.9218	45.6226868933382	-999	RSAD	R	depth	-61.2108	-9.24276	41.836	Right SMG supramarginal gyrus
RSAD10	61.7457	-24.373	48.232240199726	-999	RSAD	R	depth	-64.4592	-10.2398	44.0272	n/a
